Date	Configuration	Customer Postcode	Store Postcode	Retail Price	Screen Size (Inches)	Battery Life (Hours)	RAM (GB)	Processor Speeds (GHz)	Integrated Wireless?	HD Size (GB)	Bundled Applications?	OS X Customer	OS Y Customer	OS X Store	OS Y Store	CustomerStoreDistance
2008/01/01 01:53:15	209	SE26 4BG	CR7 8LE	465	15	5	2	2	Yes	40	Yes	534883	172132	532714	168302	4401.529393
2008/01/01 02:00:08	368	EC1R 0DY	NW5 2QH	595	15	6	2	2	No	300	No	531497	182177	529248	185213	3778.266401
2008/01/01 02:00:21	293	E6 1PW	SE8 3JD	530	15	6	1	1.5	Yes	120	Yes	541540	183278	537175	177885	6938.131881
2008/01/01 02:22:09	352	E2 0JD	SE8 3JD	570	15	6	2	1.5	No	300	No	535274	182846	537175	177885	5312.750888
2008/01/01 02:26:52	215	SE10 9NW	SE1 2BN	585	15	5	2	2	Yes	300	Yes	538670	178069	534057	179682	4886.874052
2008/01/01 02:29:54	347	SE1 9AA	SW1P 3AU	540	15	6	2	1.5	No	80	Yes	532585	180197	529902	179641	2740.004562
2008/01/01 02:31:09	340	W1H 1DG	SW1P 3AU	510	15	6	2	1.5	Yes	80	No	527601	181753	529902	179641	3123.32275
2008/01/01 02:43:53	151	EC4V 5BH	SW1V 4QQ	510	15	5	1	1.5	Yes	300	Yes	532041	180995	528924	178440	4030.349116
2008/01/01 02:59:47	344	E17 9NL	E2 0RY	590	15	6	2	1.5	Yes	300	No	537855	188970	535652	182961	6400.10078
2008/01/01 03:20:20	337	W1T 1NT	NW5 2QH	520	15	6	2	1.5	Yes	40	Yes	529506	181566	529248	185213	3656.114468
2008/01/01 03:23:20	293	E14 6JP	E2 0RY	530	15	6	1	1.5	Yes	120	Yes	537158	181278	535652	182961	2258.434192
2008/01/01 03:24:22	213	SE1 1TA	SW1P 3AU	525	15	5	2	2	Yes	120	Yes	532409	180083	529902	179641	2545.665532
2008/01/01 03:29:29	200	W1D 7HS	SW1V 4QQ	510	15	5	2	1.5	Yes	300	No	529524	180728	528924	178440	2365.363397
2008/01/01 03:47:57	152	E6 1PW	E7 8NW	460	15	5	1	1.5	Yes	300	No	541540	183278	541428	184515	1242.059982
2008/01/01 03:58:48	197	NW6 7JR	NW5 2QH	500	15	5	2	1.5	Yes	120	Yes	524885	184280	529248	185213	4461.642971
2008/01/01 04:05:31	9	WC1H 8BS	SW1V 4QQ	350	15	4	1	1.5	No	40	Yes	530217	182638	528924	178440	4392.613459
2008/01/01 04:07:51	217	SE25 4UF	CR7 8LE	445	15	5	2	2	No	40	Yes	534186	168354	532714	168302	1472.918192
2008/01/01 04:15:25	163	WC1N 3ES	SW1P 3AU	455	15	5	1	2	Yes	80	Yes	530712	181998	529902	179641	2492.297936
2008/01/01 04:16:17	19	SW1V 3AS	SW1P 3AU	435	15	4	1	2	Yes	80	Yes	529618	178286	529902	179641	1384.442487
2008/01/01 04:25:15	340	NW1 0JH	NW5 2QH	510	15	6	2	1.5	Yes	80	No	529174	183469	529248	185213	1745.569248
2008/01/01 04:25:40	16	SW1X 7BA	SW1V 4QQ	420	15	4	1	1.5	No	300	No	528450	179458	528924	178440	1122.942563
2008/01/01 04:52:43	80	W1D 3TA	NW5 2QH	495	15	4	2	2	No	300	No	529586	181258	529248	185213	3969.416708
2008/01/01 04:53:59	320	W1P 9LG	SW1P 3AU	545	15	6	1	2	No	300	No	529425	182049	529902	179641	2454.789808
2008/01/01 05:15:28	215	TW9 3AH	SW18 1NN	585	15	5	2	2	Yes	300	Yes	518891	177662	525155	175180	6737.805281
2008/01/01 05:26:44	167	KT6 4AG	SW18 1NN	535	15	5	1	2	Yes	300	Yes	517792	167537	525155	175180	10612.69136
2008/01/01 05:28:00	291	NW1 8QR	NW5 2QH	510	15	6	1	1.5	Yes	80	Yes	528830	184032	529248	185213	1252.790884
2008/01/01 05:32:28	218	SW4 7EX	SW1V 4QQ	395	15	5	2	2	No	40	No	529925	175086	528924	178440	3500.188138
2008/01/01 05:38:22	345	W1T 7QJ	SW1V 4QQ	500	15	6	2	1.5	No	40	Yes	529684	181654	528924	178440	3302.634706
2008/01/01 05:43:37	311	W1D 5BH	NW5 2QH	615	15	6	1	2	Yes	300	Yes	529752	180942	529248	185213	4300.634488
2008/01/01 05:46:42	175	SE1 1NA	SW1P 3AU	515	15	5	1	2	No	300	Yes	532684	180134	529902	179641	2825.344758
2008/01/01 05:47:49	1	E1 6NU	E2 0RY	370	15	4	1	1.5	Yes	40	Yes	533579	182085	535652	182961	2250.489947
2008/01/01 05:58:14	222	SW16 6LQ	SW18 1NN	455	15	5	2	2	No	120	No	529906	171537	525155	175180	5986.939953
2008/01/01 06:00:00	199	SW19 2BH	CR7 8LE	560	15	5	2	1.5	Yes	300	Yes	526682	170295	532714	168302	6352.7217
2008/01/01 06:08:29	7	W1T 1TA	SW1P 3AU	490	15	4	1	1.5	Yes	300	Yes	529444	181683	529902	179641	2092.732185
2008/01/01 06:22:30	301	W1P 5DA	SW1P 3AU	510	15	6	1	1.5	No	120	Yes	529226	182228	529902	179641	2673.86331
2008/01/01 06:24:30	159	N1 6BU	NW5 2QH	490	15	5	1	1.5	No	300	Yes	533016	182862	529248	185213	4441.286413
2008/01/01 06:24:37	317	E13 9AR	E7 8NW	535	15	6	1	2	No	120	Yes	541238	183958	541428	184515	588.5142309
2008/01/01 06:31:49	2	EC1R 3AN	NW5 2QH	320	15	4	1	1.5	Yes	40	No	531431	182157	529248	185213	3755.612467
2008/01/01 06:45:51	213	SW7 4SS	SW1V 4QQ	525	15	5	2	2	Yes	120	Yes	526296	178821	528924	178440	2655.474534
2008/01/01 06:49:02	163	NW5 1SP	N3 1DH	455	15	5	1	2	Yes	80	Yes	528771	186041	525109	190628	5869.481493
2008/01/01 06:56:39	357	SW7 4SS	SW1V 4QQ	605	15	6	2	2	Yes	120	Yes	526296	178821	528924	178440	2655.474534
2008/01/01 06:56:49	289	W1B 5QH	SW1P 3AU	470	15	6	1	1.5	Yes	40	Yes	529151	181043	529902	179641	1590.4732
2008/01/01 07:02:48	213	SE1 2JX	E2 0RY	525	15	5	2	2	Yes	120	Yes	533647	179825	535652	182961	3722.16617
2008/01/01 07:04:29	51	W1F 9QP	SW1V 4QQ	460	15	4	2	1.5	Yes	80	Yes	529381	181006	528924	178440	2606.377755
2008/01/01 07:06:40	339	EC4R 0AT	E2 0RY	560	15	6	2	1.5	Yes	80	Yes	532690	180844	535652	182961	3640.759948
2008/01/01 07:14:10	23	WC2R 3LD	SW1V 4QQ	515	15	4	1	2	Yes	300	Yes	531026	180989	528924	178440	3303.907535
2008/01/01 07:19:05	176	NW6 7JR	W10 6HQ	465	15	5	1	2	No	300	No	524885	184280	524190	181567	2800.606006
2008/01/01 07:26:28	354	SE10 8RT	SE8 3JD	495	15	6	2	2	Yes	40	No	538307	177164	537175	177885	1342.112141
2008/01/01 07:32:37	195	W2 1HB	W10 6HQ	480	15	5	2	1.5	Yes	80	Yes	526556	181417	524190	181567	2370.750092
2008/01/01 07:49:09	202	WC1N 3NB	SW1P 3AU	370	15	5	2	1.5	No	40	No	530613	182019	529902	179641	2482.016317
2008/01/01 07:52:16	313	EC1Y 8JH	SE1 2BN	475	15	6	1	2	No	40	Yes	532407	182113	534057	179682	2938.070966
2008/01/01 08:11:33	348	N13 4JD	N3 1DH	490	15	6	2	1.5	No	80	No	531165	192973	525109	190628	6494.163611
2008/01/01 08:13:45	311	WC2R 3JJ	SW1P 3AU	615	15	6	1	2	Yes	300	Yes	531071	181014	529902	179641	1803.244298
2008/01/01 08:21:30	176	W1H 1DG	SW1V 4QQ	465	15	5	1	2	No	300	No	527601	181753	528924	178440	3567.393727
2008/01/01 08:23:34	57	EC1A 9LB	SE1 2BN	400	15	4	2	1.5	No	40	Yes	531750	181642	534057	179682	3027.184996
2008/01/01 08:24:45	363	N1 9HS	NW5 2QH	565	15	6	2	2	No	80	Yes	531190	183162	529248	185213	2824.529164
2008/01/01 08:29:35	294	WC2N 6NE	SE1 2BN	480	15	6	1	1.5	Yes	120	No	530334	180450	534057	179682	3801.388299
2008/01/01 08:30:49	197	W1H 5HE	W10 6HQ	500	15	5	2	1.5	Yes	120	Yes	527402	181468	524190	181567	3213.525323
2008/01/01 08:32:52	159	WC1N 3LZ	SW1V 4QQ	490	15	5	1	1.5	No	300	Yes	530598	182132	528924	178440	4053.780951
2008/01/01 08:38:18	302	SE1 0LH	SE1 2BN	460	15	6	1	1.5	No	120	No	531942	180037	534057	179682	2144.586207
2008/01/01 08:40:23	306	EC2A 2ER	E2 0RY	445	15	6	1	2	Yes	40	No	532961	181912	535652	182961	2888.231639
2008/01/01 08:45:58	14	SW4 6DZ	SW12 9HD	360	15	4	1	1.5	No	120	No	529511	175809	528739	173080	2836.093264
2008/01/01 08:50:22	167	SE1 8NY	SW1V 4QQ	535	15	5	1	2	Yes	300	Yes	531629	180315	528924	178440	3291.299136
2008/01/01 09:03:10	348	W1P 3RE	NW5 2QH	490	15	6	2	1.5	No	80	No	529331	181375	529248	185213	3838.897368
2008/01/01 09:18:23	292	W1W 5QU	SW1V 4QQ	460	15	6	1	1.5	Yes	80	No	528866	182122	528924	178440	3682.456789
2008/01/01 09:24:15	15	EC1R 0DY	SW1P 3AU	470	15	4	1	1.5	No	300	Yes	531497	182177	529902	179641	2995.88401
2008/01/01 09:27:38	340	E1 8EN	SW1P 3AU	510	15	6	2	1.5	Yes	80	No	533957	181264	529902	179641	4367.740148
2008/01/01 09:51:18	337	EC2A 2ER	SW1P 3AU	520	15	6	2	1.5	Yes	40	Yes	532961	181912	529902	179641	3809.845404
2008/01/01 09:52:51	296	SW11 2JU	SW1V 4QQ	540	15	6	1	1.5	Yes	300	No	527712	175806	528924	178440	2899.465468
2008/01/01 09:53:57	29	SE1 0LH	SW1V 4QQ	435	15	4	1	2	No	120	Yes	531942	180037	528924	178440	3414.488688
2008/01/01 10:03:56	308	SW14 7QR	W4 3PH	485	15	6	1	2	Yes	80	No	520351	176144	519585	177640	1680.705804
2008/01/01 10:06:22	11	W8 7LN	SW1V 4QQ	390	15	4	1	1.5	No	80	Yes	525385	180169	528924	178440	3938.776714
2008/01/01 10:06:33	360	KT1 3DS	KT2 5AU	615	15	6	2	2	Yes	300	No	518828	169123	517917	170243	1443.71777
2008/01/01 10:06:58	68	SE16 2HB	SE1 2BN	435	15	4	2	2	Yes	80	No	534742	178789	534057	179682	1125.466126
2008/01/01 10:30:07	352	W4 5TF	W10 6HQ	570	15	6	2	1.5	No	300	No	520512	178524	524190	181567	4773.628913
2008/01/01 10:39:25	310	E1 8AH	E2 0RY	505	15	6	1	2	Yes	120	No	533699	181198	535652	182961	2631.041239
2008/01/01 10:45:01	55	SE1 0LH	SW1P 3AU	540	15	4	2	1.5	Yes	300	Yes	531942	180037	529902	179641	2078.079883
2008/01/01 10:55:46	299	SE25 6NJ	SW12 9HD	490	15	6	1	1.5	No	80	Yes	533252	168091	528739	173080	6727.353863
2008/01/01 10:56:53	357	W1W 6PS	SW1V 4QQ	605	15	6	2	2	Yes	120	Yes	528980	181740	528924	178440	3300.475117
2008/01/01 10:57:43	311	W1T 3PG	NW5 2QH	615	15	6	1	2	Yes	300	Yes	529326	181445	529248	185213	3768.807238
2008/01/01 11:00:01	299	EC4A 4AB	SW1V 4QQ	490	15	6	1	1.5	No	80	Yes	531630	181364	528924	178440	3983.994478
2008/01/01 11:09:52	201	NW1 8QU	W10 6HQ	420	15	5	2	1.5	No	40	Yes	528711	184190	524190	181567	5226.812604
2008/01/01 11:18:10	362	SW1H 0DB	SW1P 3AU	475	15	6	2	2	No	40	No	529656	179545	529902	179641	264.068173
2008/01/01 11:31:08	56	W1W 7QL	SW1V 4QQ	490	15	4	2	1.5	Yes	300	No	529131	181596	528924	178440	3162.781213
2008/01/01 11:33:38	345	SW4 7EX	SW1P 3AU	500	15	6	2	1.5	No	40	Yes	529925	175086	529902	179641	4555.058068
2008/01/01 11:37:09	315	E15 4BQ	E2 0RY	515	15	6	1	2	No	80	Yes	538979	184356	535652	182961	3607.624426
2008/01/01 11:41:47	357	SE16 4QZ	E2 0RY	605	15	6	2	2	Yes	120	Yes	534348	179162	535652	182961	4016.567813
2008/01/01 11:48:58	154	W1T 2AW	NW5 2QH	320	15	5	1	1.5	No	40	No	529435	181786	529248	185213	3432.098192
2008/01/01 11:56:23	18	EC4Y 1DG	SW1V 4QQ	345	15	4	1	2	Yes	40	No	531563	181154	528924	178440	3785.5141
2008/01/01 12:18:19	209	SW11 1RU	SW1V 4QQ	465	15	5	2	2	Yes	40	Yes	527337	175463	528924	178440	3373.588297
2008/01/01 12:21:35	290	E1 4TP	SE1 2BN	420	15	6	1	1.5	Yes	40	No	535074	181974	534057	179682	2507.499352
2008/01/01 12:24:16	70	W1U 1QB	SW1P 3AU	455	15	4	2	2	Yes	120	No	528416	181286	529902	179641	2216.804231
2008/01/01 12:24:18	302	SE5 8RS	SW1V 4QQ	460	15	6	1	1.5	No	120	No	532566	176473	528924	178440	4139.233383
2008/01/01 12:24:42	362	SW1X 7NR	W10 6HQ	475	15	6	2	2	No	40	No	528177	179652	524190	181567	4423.052566
2008/01/01 12:27:37	307	E10 6AE	E7 8NW	535	15	6	1	2	Yes	80	Yes	537922	188074	541428	184515	4995.849978
2008/01/01 12:29:09	223	EC4Y 1DG	SW1V 4QQ	565	15	5	2	2	No	300	Yes	531563	181154	528924	178440	3785.5141
2008/01/01 12:29:19	219	NW1 4EE	NW5 2QH	485	15	5	2	2	No	80	Yes	528846	182533	529248	185213	2709.982288
2008/01/01 12:40:56	347	WC2E 9EB	SW1V 4QQ	540	15	6	2	1.5	No	80	Yes	530180	180857	528924	178440	2723.862148
2008/01/01 12:41:17	79	W1D 7PJ	SW1P 3AU	545	15	4	2	2	No	300	Yes	529602	180888	529902	179641	1282.579042
2008/01/01 12:45:11	357	N1 1HW	NW5 2QH	605	15	6	2	2	Yes	120	Yes	531208	183994	529248	185213	2308.150992
2008/01/01 12:51:48	350	WC2E 8RF	SE1 2BN	510	15	6	2	1.5	No	120	No	530351	180907	534057	179682	3903.211626
2008/01/01 13:08:20	362	SE23 3HE	CR7 8LE	475	15	6	2	2	No	40	No	535352	172957	532714	168302	5350.520442
2008/01/01 13:09:23	157	EC1V 4PH	NW5 2QH	430	15	5	1	1.5	No	120	Yes	531676	182495	529248	185213	3644.544965
2008/01/01 13:32:20	64	NW6 4JD	SW1P 3AU	470	15	4	2	1.5	No	300	No	525187	183969	529902	179641	6400.219449
2008/01/01 13:44:41	176	SE10 9NW	SE1 2BN	465	15	5	1	2	No	300	No	538670	178069	534057	179682	4886.874052
2008/01/01 13:54:57	367	W1U 1QB	SW1P 3AU	645	15	6	2	2	No	300	Yes	528416	181286	529902	179641	2216.804231
2008/01/01 14:12:15	319	N1 0AX	NW5 2QH	595	15	6	1	2	No	300	Yes	530352	183650	529248	185213	1913.579107
2008/01/01 14:15:18	320	EC3N 1AL	E2 0RY	545	15	6	1	2	No	300	No	533713	181220	535652	182961	2605.916729
2008/01/01 14:20:31	302	NW1 8XD	SW1P 3AU	460	15	6	1	1.5	No	120	No	527857	184048	529902	179641	4858.361246
2008/01/01 14:22:47	203	W1U 2SA	SW1V 4QQ	460	15	5	2	1.5	No	80	Yes	528476	181338	528924	178440	2932.423571
2008/01/01 14:23:18	316	EC4N 4SJ	E2 0RY	465	15	6	1	2	No	80	No	532386	181018	535652	182961	3800.263807
2008/01/01 14:48:20	315	W1P 3RE	SW1V 4QQ	515	15	6	1	2	No	80	Yes	529331	181375	528924	178440	2963.085216
2008/01/01 14:53:57	4	W1G 0PP	SW1P 3AU	360	15	4	1	1.5	Yes	80	No	528909	181315	529902	179641	1946.361991
2008/01/01 14:58:27	302	WC2B 5QD	SW1P 3AU	460	15	6	1	1.5	No	120	No	530284	181357	529902	179641	1758.004551
2008/01/01 15:02:10	301	NW3 2QE	NW5 2QH	510	15	6	1	1.5	No	120	Yes	527275	185569	529248	185213	2004.860344
2008/01/01 15:16:23	55	W1X 7FJ	SW1V 4QQ	540	15	4	2	1.5	Yes	300	Yes	528511	180346	528924	178440	1950.232037
2008/01/01 15:28:24	359	W2 1PU	SW1P 3AU	665	15	6	2	2	Yes	300	Yes	527090	181506	529902	179641	3374.25088
2008/01/01 15:29:13	80	W1W 7JB	SW1V 4QQ	495	15	4	2	2	No	300	No	529107	181473	528924	178440	3038.515756
2008/01/01 15:32:25	29	SE26 5HB	SW12 9HD	435	15	4	1	2	No	120	Yes	535838	171458	528739	173080	7281.942392
2008/01/01 15:35:02	202	W1T 6QF	NW5 2QH	370	15	5	2	1.5	No	40	No	529015	182065	529248	185213	3156.610999
2008/01/01 15:43:59	213	SE1 7NZ	SW1V 4QQ	525	15	5	2	2	Yes	120	Yes	530828	179790	528924	178440	2334.034276
2008/01/01 15:44:14	5	SE14 6LA	SE8 3JD	430	15	4	1	1.5	Yes	120	Yes	536682	177068	537175	177885	954.2211484
2008/01/01 15:52:27	292	W1H 4LQ	SW1V 4QQ	460	15	6	1	1.5	Yes	80	No	527356	181537	528924	178440	3471.315745
2008/01/01 15:53:24	58	E1W 3SP	SE1 2BN	350	15	4	2	1.5	No	40	No	535141	180359	534057	179682	1278.039514
2008/01/01 15:55:13	310	N1 0AX	SW1P 3AU	505	15	6	1	2	Yes	120	No	530352	183650	529902	179641	4034.17662
2008/01/01 15:59:07	80	SE14 6TY	E2 0RY	495	15	4	2	2	No	300	No	536890	176999	535652	182961	6089.177941
2008/01/01 16:03:22	312	N4 2DE	E2 0RY	565	15	6	1	2	Yes	300	No	532006	187461	535652	182961	5791.659175
2008/01/01 16:09:54	80	W1T 1HH	NW5 2QH	495	15	4	2	2	No	300	No	529654	181374	529248	185213	3860.408916
2008/01/01 16:14:34	303	SE8 4RZ	SE1 2BN	570	15	6	1	1.5	No	300	Yes	537374	176949	534057	179682	4297.880641
2008/01/01 16:16:58	65	KT2 7PX	W4 3PH	445	15	4	2	2	Yes	40	Yes	519504	170070	519585	177640	7570.433343
2008/01/01 16:24:54	357	SE26 4QY	SW12 9HD	605	15	6	2	2	Yes	120	Yes	534965	172166	528739	173080	6292.73168
2008/01/01 16:25:26	358	SE3 9LE	SE1 2BN	555	15	6	2	2	Yes	120	No	539632	175992	534057	179682	6685.560934
2008/01/01 16:29:02	63	SE11 4XD	SW1P 3AU	520	15	4	2	1.5	No	300	Yes	531440	178481	529902	179641	1926.407018
2008/01/01 16:37:50	199	EC1Y 8JH	SE1 2BN	560	15	5	2	1.5	Yes	300	Yes	532407	182113	534057	179682	2938.070966
2008/01/01 16:40:03	169	CR0 1NF	SW18 1NN	395	15	5	1	2	No	40	Yes	532365	165028	525155	175180	12451.79521
2008/01/01 16:42:37	167	SE1 8QA	SW1P 3AU	535	15	5	1	2	Yes	300	Yes	531417	179785	529902	179641	1521.828177
2008/01/01 16:42:49	302	SE22 8EW	SW12 9HD	460	15	6	1	1.5	No	120	No	533835	175187	528739	173080	5514.405226
2008/01/01 16:48:14	149	W1F 0QA	SW1V 4QQ	450	15	5	1	1.5	Yes	120	Yes	529509	181083	528924	178440	2706.967676
2008/01/01 16:57:07	316	W1J 7QQ	SW1P 3AU	465	15	6	1	2	No	80	No	528745	180265	529902	179641	1314.543647
2008/01/01 16:58:54	352	N1 9NL	NW5 2QH	570	15	6	2	1.5	No	300	No	530455	182970	529248	185213	2547.135254
2008/01/01 17:02:32	74	SW19 5BA	KT2 5AU	375	15	4	2	2	No	40	No	523809	171172	517917	170243	5964.788764
2008/01/01 17:03:26	175	W11 1PY	SW1P 3AU	515	15	5	1	2	No	300	Yes	524367	181248	529902	179641	5763.564349
2008/01/01 17:05:30	175	EC1V 9NU	SE1 2BN	515	15	5	1	2	No	300	Yes	532658	182636	534057	179682	3268.534381
2008/01/01 17:05:44	24	E1 6TD	SW1P 3AU	465	15	4	1	2	Yes	300	No	534019	181532	529902	179641	4530.515423
2008/01/01 17:06:22	176	EC1V 7DT	E2 0RY	465	15	5	1	2	No	300	No	531923	182519	535652	182961	3755.10386
2008/01/01 17:06:36	197	SE19 2EZ	SE8 3JD	500	15	5	2	1.5	Yes	120	Yes	533543	170496	537175	177885	8233.392071
2008/01/01 17:07:36	349	W1H 7PP	SW1P 3AU	560	15	6	2	1.5	No	120	Yes	527732	181195	529902	179641	2669.04777
2008/01/01 17:15:34	208	NW1 2HR	SW1V 4QQ	490	15	5	2	1.5	No	300	No	529342	182608	528924	178440	4188.907734
2008/01/01 17:16:09	75	SE17 1RL	SW1V 4QQ	465	15	4	2	2	No	80	Yes	532311	178368	528924	178440	3387.765193
2008/01/01 17:20:18	348	WC2R 2PP	SW1V 4QQ	490	15	6	2	1.5	No	80	No	531065	180778	528924	178440	3170.193212
2008/01/01 17:24:03	80	E1W 1AP	SE1 2BN	495	15	4	2	2	No	300	No	534023	180622	534057	179682	940.6146926
2008/01/01 17:25:25	202	E15 4NL	E2 0RY	370	15	5	2	1.5	No	40	No	539302	184866	535652	182961	4117.222972
2008/01/01 17:38:57	196	W1T 1DG	NW5 2QH	430	15	5	2	1.5	Yes	80	No	529584	181554	529248	185213	3674.39478
2008/01/01 17:45:10	223	SE1 2LX	E2 0RY	565	15	5	2	2	No	300	Yes	533720	180029	535652	182961	3511.302892
2008/01/01 17:46:01	208	W1X 7FJ	SW1P 3AU	490	15	5	2	1.5	No	300	No	528511	180346	529902	179641	1559.456957
2008/01/01 17:53:20	176	EC1V 7DT	SE1 2BN	465	15	5	1	2	No	300	No	531923	182519	534057	179682	3550.003521
2008/01/01 18:14:40	80	SE6 4RE	SE1 2BN	495	15	4	2	2	No	300	No	537385	173593	534057	179682	6939.128548
2008/01/01 18:20:45	308	SE19 1TQ	SW12 9HD	485	15	6	1	2	Yes	80	No	533442	170754	528739	173080	5246.759476
2008/01/01 18:46:04	53	W1D 4UB	SW1P 3AU	480	15	4	2	1.5	Yes	120	Yes	529706	180991	529902	179641	1364.15395
2008/01/01 19:05:42	163	W9 1EH	SW1P 3AU	455	15	5	1	2	Yes	80	Yes	526115	182409	529902	179641	4690.756122
2008/01/01 19:08:39	361	W1B 5QH	SW1V 4QQ	525	15	6	2	2	No	40	Yes	529151	181043	528924	178440	2612.879255
2008/01/01 19:12:35	349	NW1 2HR	NW5 2QH	560	15	6	2	1.5	No	120	Yes	529342	182608	529248	185213	2606.695418
2008/01/01 19:14:43	58	W1H 5HE	W10 6HQ	350	15	4	2	1.5	No	40	No	527402	181468	524190	181567	3213.525323
2008/01/01 19:32:34	77	EC1M 6AW	SW1P 3AU	485	15	4	2	2	No	120	Yes	531859	181875	529902	179641	2969.950336
2008/01/01 19:33:09	316	NW1 7NB	W10 6HQ	465	15	6	1	2	No	80	No	528783	183660	524190	181567	5047.405076
2008/01/01 19:34:32	20	EC1R 0EG	SW1P 3AU	385	15	4	1	2	Yes	80	No	531547	182175	529902	179641	3021.122474
2008/01/01 19:36:19	175	E14 9NS	SE1 2BN	515	15	5	1	2	No	300	Yes	538388	180046	534057	179682	4346.26932
2008/01/01 19:43:34	32	EC1M 6BH	SW1P 3AU	445	15	4	1	2	No	300	No	531767	181811	529902	179641	2861.315257
2008/01/01 19:48:00	173	EC3M 7AN	E2 0RY	455	15	5	1	2	No	120	Yes	533094	180996	535652	182961	3225.614515
2008/01/01 20:05:14	345	NW1 2DN	SW1P 3AU	500	15	6	2	1.5	No	40	Yes	529666	182668	529902	179641	3036.18593
2008/01/01 20:10:14	16	SW2 2UB	SW1V 4QQ	420	15	4	1	1.5	No	300	No	530812	174017	528924	178440	4809.103139
2008/01/01 20:12:48	67	E17 9NL	N17 6QA	485	15	4	2	2	Yes	80	Yes	537855	188970	533788	189994	4193.931926
2008/01/01 20:15:38	79	SE1 9EF	SW1P 3AU	545	15	4	2	2	No	300	Yes	532449	180395	529902	179641	2656.261471
2008/01/01 20:31:30	67	W1W 7EP	SW1P 3AU	485	15	4	2	2	Yes	80	Yes	529187	181639	529902	179641	2122.08129
2008/01/01 20:32:13	310	WC2H 9EB	SW1V 4QQ	505	15	6	1	2	Yes	120	No	530213	181172	528924	178440	3020.818598
2008/01/01 20:35:34	367	EC1Y 1BD	E2 0RY	645	15	6	2	2	No	300	Yes	532784	182382	535652	182961	2925.861412
2008/01/01 20:36:17	313	SE22 0RR	SE8 3JD	475	15	6	1	2	No	40	Yes	534741	174492	537175	177885	4175.740054
